"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2017","64.270","64.605","64.750","64.155","","-0.52%"
"04/10/2017","64.605","64.305","64.628","64.305","","0.52%"
"04/11/2017","64.555","64.600","64.692","64.410","","-0.08%"
"04/12/2017","64.690","64.625","64.730","64.535","","0.21%"
"04/13/2017","64.445","64.445","64.504","64.261","","-0.38%"
"04/14/2017","64.480","64.441","64.485","64.441","","0.05%"
"04/17/2017","64.480","64.425","64.555","64.290","","0.00%"
"04/18/2017","64.605","64.505","64.645","64.475","","0.19%"
"04/19/2017","64.665","64.585","64.685","64.505","","0.09%"
"04/20/2017","64.620","64.660","64.723","64.543","","-0.07%"
"04/21/2017","64.650","64.645","64.685","64.550","","0.05%"
"04/24/2017","64.490","64.537","64.541","64.410","","-0.25%"
"04/25/2017","64.330","64.425","64.425","64.213","","-0.25%"
"04/26/2017","64.130","64.325","64.330","63.925","","-0.31%"
"04/27/2017","64.115","64.055","64.165","63.975","","-0.02%"
"04/28/2017","64.290","64.115","64.385","64.115","","0.27%"
"05/01/2017","64.255","64.285","64.285","64.255","","-0.05%"
"05/02/2017","64.165","64.137","64.240","64.115","","-0.14%"
"05/03/2017","64.165","64.130","64.190","64.105","","0.00%"
"05/04/2017","64.215","64.185","64.240","64.170","","0.08%"
"05/05/2017","64.315","64.225","64.385","64.225","","0.16%"
"05/08/2017","64.360","64.245","64.373","64.195","","0.07%"
"05/09/2017","64.680","64.435","64.700","64.435","","0.50%"
"05/10/2017","64.615","64.675","64.675","64.535","","-0.10%"
"05/11/2017","64.405","64.610","64.610","64.338","","-0.33%"
"05/12/2017","64.243","64.305","64.375","64.243","","-0.25%"
"05/15/2017","64.065","64.110","64.160","64.005","","-0.28%"
"05/16/2017","64.045","64.065","64.155","64.030","","-0.03%"
"05/17/2017","64.130","63.995","64.170","63.985","","0.13%"
"05/18/2017","64.880","64.395","64.920","64.322","","1.17%"
"05/19/2017","64.565","64.725","65.025","64.565","","-0.49%"
"05/22/2017","64.510","64.505","64.630","64.434","","-0.09%"
"05/23/2017","64.895","64.665","64.908","64.635","","0.60%"
"05/24/2017","64.770","64.915","64.955","64.700","","-0.19%"
"05/25/2017","64.555","64.578","64.650","64.477","","-0.33%"
"05/26/2017","64.510","64.565","64.630","64.425","","-0.07%"
"05/29/2017","64.540","64.485","64.593","64.455","","0.05%"
"05/30/2017","64.635","64.640","64.697","64.595","","0.15%"
"05/31/2017","64.510","64.625","64.625","64.460","","-0.19%"
"06/01/2017","64.479","64.488","64.558","64.395","","-0.05%"
"06/02/2017","64.415","64.335","64.509","64.335","","-0.10%"
"06/05/2017","64.350","64.320","64.412","64.287","","-0.10%"
"06/06/2017","64.430","64.380","64.480","64.310","","0.12%"
"06/07/2017","64.435","64.495","64.515","64.295","","0.01%"
"06/08/2017","64.250","64.405","64.425","64.201","","-0.29%"
"06/09/2017","64.245","64.275","64.340","64.166","","-0.01%"
"06/12/2017","64.480","64.345","64.485","64.314","","0.37%"
"06/13/2017","64.345","64.435","64.493","64.330","","-0.21%"
"06/14/2017","64.235","64.350","64.366","64.235","","-0.17%"
"06/15/2017","64.565","64.275","64.600","64.240","","0.51%"
"06/16/2017","64.465","64.680","64.740","64.395","","-0.15%"
"06/19/2017","64.495","64.425","64.525","64.320","","0.05%"
"06/20/2017","64.540","64.485","64.540","64.412","","0.07%"
"06/21/2017","64.530","64.635","64.678","64.488","","-0.02%"
"06/22/2017","64.605","64.580","64.623","64.445","","0.12%"
"06/23/2017","64.505","64.565","64.594","64.425","","-0.15%"
"06/26/2017","64.435","64.465","64.465","64.435","","-0.11%"
"06/27/2017","64.475","64.485","64.543","64.405","","0.06%"
"06/28/2017","64.525","64.555","64.640","64.490","","0.08%"
"06/29/2017","64.660","64.455","64.690","64.442","","0.21%"
"06/30/2017","64.620","64.730","64.840","64.574","","-0.06%"
"07/03/2017","64.845","64.655","64.908","64.634","","0.35%"
"07/04/2017","64.790","64.795","64.887","64.695","","-0.08%"
"07/05/2017","64.800","64.705","64.865","64.675","","0.02%"
"07/06/2017","64.725","64.755","64.808","64.705","","-0.12%"
"07/07/2017","64.625","64.755","64.755","64.520","","-0.15%"
"07/10/2017","64.475","64.565","64.578","64.460","","-0.23%"
"07/11/2017","64.565","64.455","64.595","64.450","","0.14%"
"07/12/2017","64.475","64.515","64.580","64.465","","-0.14%"
"07/13/2017","64.460","64.398","64.495","64.398","","-0.02%"
"07/14/2017","64.424","64.445","64.483","64.385","","-0.06%"
"07/17/2017","64.345","64.355","64.396","64.332","","-0.12%"
"07/18/2017","64.316","64.340","64.370","64.273","","-0.05%"
"07/19/2017","64.270","64.355","64.355","64.260","","-0.07%"
"07/20/2017","64.375","64.345","64.460","64.322","","0.16%"
"07/21/2017","64.385","64.385","64.393","64.305","","0.02%"
"07/24/2017","64.395","64.415","64.465","64.298","","0.02%"
"07/25/2017","64.385","64.375","64.425","64.345","","-0.02%"
"07/26/2017","64.355","64.435","64.449","64.324","","-0.05%"
"07/27/2017","64.125","64.185","64.208","64.065","","-0.36%"
"07/28/2017","64.115","64.195","64.245","64.110","","-0.02%"
"07/31/2017","64.200","64.115","64.248","64.048","","0.13%"
"08/01/2017","64.095","64.105","64.152","64.045","","-0.16%"
"08/02/2017","63.635","64.125","64.135","63.595","","-0.72%"
"08/03/2017","63.705","63.650","63.723","63.565","","0.11%"
"08/04/2017","63.675","63.675","63.740","63.578","","-0.05%"
"08/07/2017","63.840","63.715","63.853","63.651","","0.26%"
"08/08/2017","63.692","63.755","63.785","63.619","","-0.23%"
"08/09/2017","63.860","63.785","63.860","63.715","","0.26%"
"08/10/2017","64.095","63.955","64.115","63.885","","0.37%"
"08/11/2017","64.140","64.230","64.270","64.100","","0.07%"
"08/14/2017","64.090","63.985","64.146","63.935","","-0.08%"
"08/15/2017","64.120","64.110","64.120","64.110","","0.05%"
"08/16/2017","64.170","64.275","64.326","64.140","","0.08%"
"08/17/2017","64.170","64.170","64.170","64.170","","0.00%"
"08/18/2017","64.095","64.185","64.185","64.080","","-0.12%"
"08/21/2017","64.110","64.075","64.158","64.011","","0.02%"
"08/22/2017","64.072","64.095","64.149","64.050","","-0.06%"
"08/23/2017","64.045","64.045","64.146","64.045","","-0.04%"
"08/24/2017","64.045","64.040","64.090","64.005","","0.00%"
"08/25/2017","64.005","64.055","64.065","64.005","","-0.06%"
"08/28/2017","63.905","63.890","63.930","63.854","","-0.16%"
"08/29/2017","64.015","63.955","64.037","63.925","","0.17%"
"08/30/2017","63.990","63.975","64.020","63.873","","-0.04%"
"08/31/2017","63.935","64.035","64.060","63.895","","-0.09%"
"09/01/2017","64.025","63.925","64.053","63.873","","0.14%"
"09/04/2017","64.040","63.945","64.178","63.935","","0.02%"
"09/05/2017","64.105","64.105","64.162","64.080","","0.10%"
"09/06/2017","64.060","64.110","64.264","64.060","","-0.07%"
"09/07/2017","64.015","64.042","64.055","63.980","","-0.07%"
"09/08/2017","63.785","63.870","63.960","63.778","","-0.36%"
"09/11/2017","63.935","63.905","63.938","63.838","","0.24%"
"09/12/2017","64.031","63.985","64.053","63.935","","0.15%"
"09/13/2017","64.010","63.985","64.045","63.965","","-0.03%"
"09/14/2017","64.123","64.170","64.175","64.063","","0.18%"
"09/15/2017","64.110","64.145","64.145","64.042","","-0.02%"
"09/18/2017","64.158","64.055","64.168","64.003","","0.07%"
"09/19/2017","64.300","64.185","64.350","64.130","","0.22%"
"09/20/2017","64.293","64.245","64.435","64.245","","-0.01%"
"09/21/2017","64.810","64.510","64.850","64.445","","0.80%"
"09/22/2017","64.795","64.810","65.155","64.755","","-0.02%"
"09/25/2017","65.128","64.845","65.175","64.725","","0.51%"
"09/26/2017","65.460","65.245","65.490","65.153","","0.51%"
"09/27/2017","65.715","65.365","65.755","65.345","","0.39%"
"09/28/2017","65.470","65.830","65.895","65.468","","-0.37%"
"09/29/2017","65.310","65.352","65.465","65.235","","-0.24%"
"10/02/2017","65.310","65.310","65.310","65.310","","0.00%"
"10/03/2017","65.485","65.595","65.637","65.465","","0.27%"
"10/04/2017","65.030","65.345","65.384","64.950","","-0.69%"
"10/05/2017","65.145","65.095","65.192","64.975","","0.18%"
"10/06/2017","65.400","65.195","65.403","65.195","","0.39%"
"10/09/2017","65.355","65.375","65.430","65.275","","-0.07%"
"10/10/2017","65.250","65.355","65.380","65.205","","-0.16%"
"10/11/2017","65.160","65.260","65.317","65.125","","-0.14%"
"10/12/2017","65.060","65.160","65.162","65.030","","-0.15%"
"10/13/2017","64.700","64.955","64.965","64.700","","-0.55%"
"10/16/2017","64.700","64.745","64.770","64.690","","0.00%"
"10/17/2017","65.030","64.795","65.040","64.795","","0.51%"
"10/18/2017","65.055","64.985","65.160","64.955","","0.04%"
"10/19/2017","64.995","65.033","65.080","64.995","","-0.09%"
"10/20/2017","65.040","64.995","65.042","64.990","","0.07%"
"10/23/2017","65.023","65.075","65.115","64.980","","-0.03%"
"10/24/2017","65.090","64.975","65.123","64.893","","0.10%"
"10/25/2017","64.925","65.145","65.197","64.885","","-0.25%"
"10/26/2017","64.840","64.780","64.915","64.725","","-0.13%"
"10/27/2017","65.040","65.025","65.110","64.965","","0.31%"
"10/30/2017","64.860","64.885","64.953","64.795","","-0.28%"
"10/31/2017","64.750","64.835","64.845","64.725","","-0.17%"
"11/01/2017","64.565","64.705","64.705","64.510","","-0.29%"
"11/02/2017","64.575","64.535","64.675","64.475","","0.02%"
"11/03/2017","64.560","64.575","64.645","64.515","","-0.02%"
"11/06/2017","64.625","64.665","64.743","64.625","","0.10%"
"11/07/2017","65.060","64.655","65.065","64.610","","0.67%"
"11/08/2017","64.920","65.135","65.165","64.920","","-0.22%"
"11/09/2017","64.975","64.945","65.003","64.852","","0.08%"
"11/10/2017","65.190","65.085","65.203","65.000","","0.33%"
"11/13/2017","65.440","65.365","65.530","65.261","","0.38%"
"11/14/2017","65.410","65.315","65.545","65.287","","-0.05%"
"11/15/2017","65.270","65.435","65.435","65.150","","-0.21%"
"11/16/2017","65.295","65.285","65.389","65.125","","0.04%"
"11/17/2017","65.015","64.648","65.072","64.625","","-0.43%"
"11/20/2017","65.100","64.975","65.125","64.975","","0.13%"
"11/21/2017","64.880","65.085","65.119","64.879","","-0.34%"
"11/22/2017","64.880","64.775","64.959","64.715","","0.00%"
"11/23/2017","64.570","64.805","64.887","64.560","","-0.48%"
"11/24/2017","64.680","64.585","64.748","64.548","","0.17%"
"11/27/2017","64.477","64.715","64.828","64.477","","-0.31%"
"11/28/2017","64.410","64.535","64.608","64.363","","-0.10%"
"11/29/2017","64.360","64.420","64.515","64.275","","-0.08%"
"11/30/2017","64.490","64.545","64.630","64.405","","0.20%"
"12/01/2017","64.520","64.500","64.520","64.488","","0.05%"
"12/04/2017","64.380","64.555","64.555","64.285","","-0.22%"
"12/05/2017","64.360","64.295","64.463","64.225","","-0.03%"
"12/06/2017","64.530","64.440","64.553","64.393","","0.26%"
"12/07/2017","64.570","64.505","64.605","64.485","","0.06%"
"12/08/2017","64.480","64.560","64.585","64.430","","-0.14%"
"12/11/2017","64.355","64.455","64.455","64.315","","-0.19%"
"12/12/2017","64.410","64.415","64.524","64.395","","0.09%"
"12/13/2017","64.460","64.535","64.555","64.420","","0.08%"
"12/14/2017","64.340","64.355","64.373","64.248","","-0.19%"
"12/15/2017","64.080","64.135","64.173","64.010","","-0.40%"
"12/18/2017","64.210","64.155","64.730","64.085","","0.20%"
"12/19/2017","64.060","64.225","64.225","63.940","","-0.23%"
"12/20/2017","64.115","64.010","64.130","64.005","","0.09%"
"12/21/2017","64.020","64.015","64.135","64.010","","-0.15%"
"12/22/2017","64.020","64.055","64.085","64.016","","0.00%"
"12/25/2017","64.020","64.020","64.020","64.020","","0.00%"
"12/26/2017","64.050","64.035","64.118","64.023","","0.05%"
"12/27/2017","64.120","64.070","64.180","64.070","","0.11%"
"12/28/2017","64.080","64.130","64.275","64.072","","-0.06%"
"12/29/2017","63.840","64.050","64.065","63.785","","-0.37%"
"01/01/2018","63.680","63.855","63.865","63.635","","-0.25%"
"01/02/2018","63.460","63.695","63.765","63.435","","-0.35%"
"01/03/2018","63.505","63.555","63.575","63.448","","0.07%"
"01/04/2018","63.400","63.595","63.613","63.363","","-0.17%"
"01/05/2018","63.340","63.355","63.420","63.317","","-0.09%"
"01/08/2018","63.475","63.335","63.530","63.245","","0.21%"
"01/09/2018","63.670","63.485","63.730","63.425","","0.31%"
"01/10/2018","63.630","63.685","63.848","63.555","","-0.06%"
"01/11/2018","63.690","63.655","63.823","63.643","","0.09%"
"01/12/2018","63.610","63.595","63.723","63.481","","-0.13%"
"01/15/2018","63.515","63.460","63.515","63.335","","-0.15%"
"01/16/2018","64.020","63.605","64.125","63.595","","0.80%"
"01/17/2018","63.885","64.080","64.080","63.773","","-0.21%"
"01/18/2018","63.870","63.855","63.945","63.750","","-0.02%"
"01/19/2018","63.830","63.675","63.865","63.630","","-0.06%"
"01/22/2018","63.890","63.885","64.003","63.720","","0.09%"
"01/23/2018","63.760","63.905","63.905","63.745","","-0.20%"
"01/24/2018","63.660","63.735","63.735","63.625","","-0.16%"
"01/25/2018","63.515","63.515","63.640","63.455","","-0.23%"
"01/26/2018","63.590","63.520","63.615","63.510","","0.12%"
"01/29/2018","63.600","63.605","63.620","63.485","","0.02%"
