"Date","Price","Open","High","Low","Vol.","Change %"
"30-09-2018","113.65","114.00","114.00","114.00","0.20K","-0.18%"
"23-09-2018","113.85","113.85","113.85","113.85","0.01K","0.35%"
"16-09-2018","113.45","113.45","113.45","113.45","0.04K","-1.69%"
"09-09-2018","115.40","115.00","115.25","115.00","0.09K","0.74%"
"02-09-2018","114.55","114.90","115.00","114.75","0.21K","-2.92%"
"26-08-2018","118.00","118.00","118.00","118.00","0.02K","0.08%"
"19-08-2018","117.90","117.90","117.90","117.90","0.01K","-0.08%"
"12-08-2018","118.00","118.40","118.40","118.40","0.08K","1.16%"
"05-08-2018","116.65","116.50","116.50","116.00","0.22K","-0.68%"
"29-07-2018","117.45","115.20","118.10","115.20","0.24K","-2.04%"
"22-07-2018","119.90","119.90","119.90","119.90","0.02K","1.87%"
"15-07-2018","117.70","117.70","117.70","117.70","0.07K","0.00%"
"08-07-2018","117.70","117.70","117.70","117.70","0.12K","1.38%"
"01-07-2018","116.10","115.70","116.20","115.70","0.47K","1.49%"
"24-06-2018","114.40","114.40","114.40","114.40","0.00K","0.31%"
"17-06-2018","114.05","114.05","114.05","114.05","0.01K","-0.83%"
"10-06-2018","115.00","116.00","116.00","116.00","0.16K","1.01%"
"03-06-2018","113.85","112.85","114.00","112.50","0.19K","2.52%"
"27-05-2018","111.05","106.75","112.50","106.65","0.14K","5.31%"
"20-05-2018","105.45","105.45","105.45","105.45","0.07K","1.05%"
"13-05-2018","104.35","104.35","104.35","104.35","0.01K","2.56%"
"06-05-2018","101.75","101.75","101.75","101.75","0.12K","1.19%"
"29-04-2018","100.55","101.45","101.45","101.30","0.33K","7.37%"
"22-04-2018","93.65","93.30","93.30","93.30","0.03K","0.21%"
"15-04-2018","93.45","92.70","92.70","92.70","0.28K","0.05%"
"08-04-2018","93.40","93.40","93.40","93.40","0.37K","-0.53%"
"01-04-2018","93.90","93.40","93.40","93.25","0.56K","-2.59%"
"25-03-2018","96.40","96.40","96.40","96.40","0.04K","-0.36%"
"18-03-2018","96.75","96.90","96.90","96.90","0.07K","-0.41%"
"11-03-2018","97.15","99.00","99.00","97.00","0.16K","-2.26%"
"04-03-2018","99.40","101.00","101.00","100.00","0.09K","-3.40%"
"25-02-2018","102.90","107.15","107.15","103.00","0.14K","-2.09%"
"18-02-2018","105.10","105.10","105.10","105.10","0.02K","0.38%"
"11-02-2018","104.70","104.70","104.70","104.70","0.13K","3.51%"
"04-02-2018","101.15","104.40","104.40","104.40","0.21K","-3.44%"
"28-01-2018","104.75","109.00","109.65","107.75","0.17K","-1.64%"
"21-01-2018","106.50","106.50","106.50","106.50","0.06K","-0.23%"
"14-01-2018","106.75","107.00","107.05","106.55","0.14K","0.85%"
"07-01-2018","105.85","105.90","107.00","105.90","0.16K","0.52%"
"31-12-2017","105.30","105.00","105.50","105.00","0.22K","4.46%"
"24-12-2017","100.80","100.80","100.80","100.80","0.01K","0.60%"
"17-12-2017","100.20","100.20","100.20","100.20","0.06K","0.20%"
"10-12-2017","100.00","100.00","100.00","100.00","0.03K","2.51%"
"03-12-2017","97.55","97.70","97.70","97.70","0.01K","0.62%"
